Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,20/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
East Asia & Pacific (excluding high income),EAP,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,50.19227982,50.41722107,51.84527969,53.37300873,54.12490082,56.26372147,57.41719055,59.14049149,60.54111099,61.87778091,63.07649994,64.57295227,70.41165161,71.3949585,71.49925995,73.01477051,73.74211121,74.44548035,75.19863892,75.94463348,76.68308258,84.77906036,85.31461334,85.79768372,86.46479797,86.86302948,87.40998077,87.97663879,88.69574738,89.1933136,89.77979279,91.33390045,91.69554138,92.16635895,92.35005,92.22603,92.52808,92.665,93.26824,93.51076,93.68383,93.9762,94.19083,
Early-demographic dividend,EAR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,37.37057877,37.68870163,38.37916946,39.11500931,39.80764008,39.92055893,40.99937057,42.02772141,42.8121109,43.83441925,44.63047028,45.42464828,46.40428925,46.79373932,47.60866928,48.67903137,49.35435867,50.3650589,51.1533699,52.12881088,53.11909866,54.0381813,54.85033035,57.73677826,58.54553986,59.41067123,60.06465912,60.74444962,61.79042816,62.7422905,,63.28126144,64.04295349,65.16970062,66.30297852,68.28954,68.56123,69.18243,69.95042,70.95109,71.7806,72.57241,73.1967,73.60423,
East Asia & Pacific,EAS,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,53.07926941,53.33959961,54.65975189,56.07612991,56.75452042,58.77474976,59.79006958,61.35826874,62.64036179,63.86418152,64.95915985,66.37361908,71.59684753,72.5116806,72.62632751,74.0017395,74.66977692,75.31442261,76.0243988,76.72773743,77.42092133,84.65135193,85.16851807,85.6668396,86.32524872,86.69316101,87.23644257,87.81388855,88.53353882,89.04242706,89.62156677,91.04669952,91.44631195,91.89909363,92.02332,91.84783,92.1665,92.30774,92.99652,93.24819,93.41968,93.72257,93.93963,
Europe & Central Asia (excluding high income),ECA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,90.79290009,91.87573242,92.17269897,92.37744141,92.63262177,92.91947937,93.08228302,93.34919739,93.48832703,93.67149353,93.85411072,94.03611755,94.22141266,94.49765015,94.673172,95.20211029,95.30841827,95.32138062,95.42984772,95.55908966,95.67156219,95.88493347,96.13674927,96.09220123,96.24526978,96.29295349,97.14308929,97.57649,97.94507,98.14114,98.21795,98.26211,98.30531,98.48434,98.4465,98.51828,
Europe & Central Asia,ECS,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.10710907,94.30454254,94.53935242,94.71923828,95.09609985,95.25991821,95.35257721,95.46933746,95.63828278,95.75760651,95.87819672,95.87978363,96.05719757,96.10015869,96.25911713,96.57601166,96.81904,97.2608,97.40974,97.50628,97.57137,97.63621,97.76784,97.78513,97.88237,
Ecuador,ECU,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,80.40522766,,,,,,,,86.19332886,,,,,,,,,,,89.69709,,,,,,90.86557,91.12257,90.91755,90.47011,90.22082,90.95168,92.21808,93.25386,93.25662,93.31453,92.08669,,
"Egypt, Arab Rep.",EGY,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,22.43800926,,,,,,,,,,31.39266968,,,,,,,,,,43.59531021,,,,,,,,,,57.81191,,,,63.51581,,65.75666,67.17986,,,,65.50569,,
Euro area,EMU,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.22442,,,,,,54.80107,,,,,,,,,,68.94619,
Spain,ESP,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,89.93692017,,,,,,,,,,95.0510025,,,,,,,,,,,,,96.23088,96.92515,,97.26032,96.88684,96.92597,97.0045,97.06557,97.21804,97.44054,97.48735,97.54713,97.69536,,97.97378,
